hash,obfuscated,time
3edf9e5c216d27b2dd5500a4f45cb67d7a8982222e24edeb365d33b8857efedb.apk,True,22.52
fb07db8deb890a952d27a7fd65ef3684fdf7619c2ff84f3ed11c9fb7d1b43e21.apk,True,16.82
1934e9d532cd429f87547b343294f9797eed36e04dffeea7b26f7ba96312815b.apk,True,13.70
88cb99bb613c3bdb8d84d5017435eedb0ca8c22638b03392cb8dd1a1e595df18.apk,True,16.26
0da24b51cd3ebc33799a25a33fa2837795ab32b4af7343d961dcf597be952c1b.apk,True,19.31
83a143014946daba76f3f9f4ace49738adbb494094c409aeed6d564e01fff373.apk,True,42.83
86c545d5df38050111bcd0bc8c5b50236c51861ddca1135c21e7b531319fac0f.apk,True,11.40
7ae048dc77e5ec4e6dd3a939aa8ee0d8c30a54a25bc7e30df486e5c001661c15.apk,False,33.93
06074b7212447435d9597d3efa2d904383269588e9d616b94177a9cb02da99f5.apk,False,19.13
039ddac990586f0a3d49c824bc326beb020a87c78e84ddcaee99570528b03607.apk,True,3.25
4ad8389dc5badb3f77ef416355343106f40a213d8bd380c97096e306d8ddbf5d.apk,True,15.85
d66a7d24c1bf618196c1701a6bb9164fb9d615b72d7adb4ab110890deeff7c04.apk,False,31.03
104d9432e7141033969f0064b58e993c22afe52a06908bc569180d9896f502e6.apk,True,14.93
0ddd18a4dc066749fcb7af3de67eddc1380ac5444e489daa8f98ed5e4f1e8241.apk,True,12.74
c8038602c227011c6788b672e73b1256e614920fbf3cb5615b2d75912fe161d9.apk,True,23.49
8a872c1cf29de6933f0e876aae06e35315b953d887144f4e426230adc89caf71.apk,True,25.46
b7b7acefcde0ee970ae8e02cad026f7e91ab28dcb20c9e08fa3b9dd1c75e2914.apk,False,14.89
0dffb182f97899a3aa1304bb0b59d4ff03cc1c660680e3a8c4b38d3a291e7256.apk,True,17.75
1109ba1e1f3c8dbf009bec11f33e8bd9283b0f29d09953f35f9540d0f92b540a.apk,False,14.02
ed238cd60fb6393593d42a2e5360dd84805c34acf1eebe26b415e8623d0fb424.apk,True,3.71
6d3fb03f806d48ac28addef3585d9812ea915d32cbe860d6f3a70acd86fa066b.apk,True,25.47
9fea81f1b2e544996a87b8a67ba6397f39a1c372d34a76c1a36b37beea864f73.apk,True,26.27
68119253f246ca593870daaeb5c2f2bc8cc955fb88becb1d7e7908b21ccc0ddd.apk,True,14.32
71effb5f42929301251f262230faf58aeb724dd554dacfd686c9099a172d0c60.apk,True,25.04
365e5a5973e8af3276ebf9b84787ad83f48632b3c56d773c1869614f6534a9a0.apk,False,13.65
510c0419f339eb1d7535b89875d7c06fba3a87551d721e4fcc4001b444b22b01.apk,False,21.51
cf376ce1488d691f6cf11e3ae4e2cc230fbd2d11b47230eaac6ff1ee11391ef6.apk,False,15.16
1983008b01276a8b4ff42f5b0cf33240df22ce677e2269c9f5150683be3466a8.apk,True,16.51
1fe53f9b92d4a52ff3edd40cdc6c3b9af595790690107afadd262129c1e01fd6.apk,True,18.65
93a48603512617842d99d19ba99fbc3ed8c8d47039ca5d79544789e011416486.apk,True,28.26
d0d8e62b2fae63ffce18058f434d8f989ac5109bcac532da8ea2b4f7cf544a3e.apk,False,40.47
c69fd29bb1fa740f0526ea1a38247a6df0e2f3b3dca426e67bd8cfd2ba88bc2f.apk,False,14.56
2bcd56d4846be8f5263e85d9ddf0d79142e456315da2786d4a16d1a49b144177.apk,True,20.06
e447e53332d23f86f4fa03d35144184cd6da70f1345044d9686e056d20da57a2.apk,True,17.71
8fb00a80a84b046fcddfa6bb2c69446895b9698a2a3e53852d367df052714f90.apk,True,17.83
ac9ade44771b83df1a3ad5fc305fc105fe7ceaec0890667cfcc31d137121db35.apk,True,14.95
7b73e65e8d7bb874210b3e68fcfcb172cff158ec61b137e2b9fa3eaa4887ee70.apk,True,17.31
f6e7093bfe60529a2f0160b48ec8f573426b1c121bab76ec0851135bd567fc14.apk,False,39.54
d5c39435aff6877d82c042f7b06eaa2fce16e23da3bdfabf8c32345c1dfc7d63.apk,True,8.23
c33783c89812ea905d6eda53b42b4af1b58e0201b42c043b86223e71e796ec01.apk,True,19.68
965599ed559a6b34fe28ead1cc8c5a8d706c6f2dfbf541275e9cbb9cee7a2e5c.apk,True,20.48
d7641e7e396d66cfaca8c89c1cfc2b23a0a78cd1681b3e58b808106d8d315474.apk,False,37.36
7c2ee3aa2570b747e036c1ba81ab9e96780711ead92e30feb4caae9f799d616f.apk,True,45.84
86f7375868f5097d3a9e904f7ed44d3bf2082eaa976a5918ec1e1c72828bec39.apk,True,5.90
752092e03ffc88f72c0e018f1169528a8fa9131b834e53112d11051749230de2.apk,True,40.83
bc2ee2caffbe9d5c08e0780b264fb165e3a86222981a7dacc6125f7c240fe167.apk,True,9.60
5addc790eec30fe65f0c83eee071344eb75df42e9341bc5a862a8fdd70d099a1.apk,True,10.16
46d519e4fee100af8d36f13c83eb6ff437fcd0d509317433a9b9ad551e475ad3.apk,True,28.31
b1013aed44e01da583a78620c5c122aaaaa55efb9086eb185ac9b5e2abf47640.apk,True,13.53
c1178539e48b878f3408fc536f7311fcd0e12a6383f64b932f97cef8b4a701c7.apk,False,38.97
bc76004721044797ff476f3bb97eaf65f457a60da622e22c9735704b44463e0c.apk,True,16.74
8303f74859e443f7e07e565cf085e7c9d02a728c6ba141cd385462b5fed14c7b.apk,True,23.11
08d8963a2b6ed014da613ca84d50e10505a007aa1ec312f0753b9a8350de07ed.apk,True,16.54
028bd639ff06d05649895c2ba5a3252a837e0b8aa3df8221e97d942af0fb0378.apk,True,3.14
02807b396b0fd82f73a28036495f524995541cc0c5af436f3d654d077fea9702.apk,True,16.95
65d252b061bad4cfd24514b8fbd77e890deaa1105fdb5b1ddf9557091f1b7312.apk,True,24.23
1564c06ccb76c3cbd30c5c435581c554d221393c8658d2ae9278c66d40637579.apk,True,16.06
ceb2a763c4f20da9d15ba572f12d253200ae93c531540a9001f130632af3856d.apk,False,14.77
cd03a04459cad5c6350b3de85e7cfadc5ca9529b51a0fe63d0b37649060b9b9b.apk,False,38.43
718f508f961d2272aec191ff3b832e6a19c6705cafacfb7c231f445219d32be9.apk,True,26.87
807c18609913333876ca26b249f244b39401ae243c225abb1193809f3c78d153.apk,True,12.20
82667a0de8c1e8522fdc8180ae5b5cb2cd568dc9067ec67621f83130e6b0aaef.apk,True,56.91
2758a63f9c947dc502ed1e54c075c67c7909ad42dbbc2a929470f4e606be9a8d.apk,True,44.76
9d97490826bb110499eb58d2345e8b00420034ed433c695da594331b0859f202.apk,True,18.75
f1ee3d4996f08783d8a5aa23139593edfcd833dad2f570a664f495ab2c3ff894.apk,True,17.78
2ceedc2af9ea5e64ca2ccedd9811d3e9bffae4e51937df87822cdd6dfcca3a24.apk,True,8.70
48471ab893d3be6e07d437fbc48e6184e1af0f9bb00bfa4c8685821e82493294.apk,True,21.66
db2d924839b85abc5a21367f253af7b59bed834c438e460515b503504a74e9e8.apk,True,3.10
ff101d6e701f999a495e118520bcdc245356acc989d7054cd857037be33ed9a1.apk,True,11.12
599501488b6e44bfa1d64ac5a3371470cf8d93c7878003aa9e9261046586e59c.apk,True,15.81
2ad1a21949ee5a573bac65f1784695cbae7084c43aaeef12c9035b21b82fd6fd.apk,True,17.87
