hash,obfuscated,time
829319b50cd70ce1103f9525ff3e90ae,True,16.55
c64eb2477dfff5c16a7aa80c966b56f5,True,2.92
49e84028c784d1ecb6752b775daf213d,True,16.39
869f6f5eacbca5c7e8a352f21d1999e1,True,25.06
3fae6fdc848f697d66879af9d1dad7a1,True,16.38
00abab5b5ba67f9dcee267e3d87d7af5,True,38.96
85ce9e5f9ba07dcf12ee92672ae88115,True,62.65
ddaf6cb87f611dbb9c8c8c682b76bcdf,True,27.57
9510eb5ac9d178950ffeec5d2fbf9544,True,12.12
48e619543316bcbb111043c3e479d2d8,True,54.90
db87af661687bd24a9aeff5bb51f94a6,True,43.63
8019656a863b6fc3f691c30039526d61,True,18.93
151d6191988a591ed8bff3fccc10ad80,True,16.51
1127302a38ca3fdbaed74f1d0277e4cc,True,8.59
96639d7b8f0b7460e787d317525dcb13,True,21.91
11a0e0edbd3be795a0d43c882f709667,True,3.26
b40cfd875c6dfd7798b41762c07169eb,True,11.42
1e8a7aa8dc8c16cc958adab9d32cc51c,True,16.06
fb5b5be07484d8228acd82b5be68380f,True,17.37
321382af294b08cffa8e02c3fecaf867,True,20.78
19c9df9058a83d798d35a9d71380666d,True,13.46
b31a29d0a420f3a4dc637eaabf56d789,True,17.00
192b776eb2fb65dd5d51e722581544b4,True,15.73
130ee4ad2878f8447cc4c7a43252b395,True,7.90
644d37bff750969de1d223e6a4f2855f,True,60.71
1cd50986a8421c0e029adc17fa5ca1a4,True,17.47
c25c2acca2dae0ea70c2f0e650467e99,True,75.53
84e8f775a73d0ce8917c49b4b588f1ad,True,40.13
13aee6f0c2c394e7069a35e8b21a689d,True,24.44
d587c1378f8313efa6ff1ce1cd5273e5,True,25.23
0aa55f853ff8fcdb738118ba010a4e86,True,12.70
562f6731cf0c2ae304cac8b3cbfe5727,True,17.87
8ea32fb18b3c77c415dea6ac4f896d08,True,25.22
d5c281d405417194d44234d1eb790398,True,3.07
efd36e170e86f3c3afa400c534ca7543,True,11.51
235fbab6805512d803426724ae3938ce,True,10.53
433b242b6e61fd850ae05e12bba60748,True,17.85
3ff77e270fbea318b661565ee83a5b19,True,24.05
db00f3783d224b5c95ab1cf3b125dc33,True,39.48
9e53468c7da54093de59837ccae9d508,True,20.06
071fe0395dd0ca589b2c42e4c47dfbfb,True,11.74
5ba7a822762b695d1e779c18a8f8c2b4,True,8.12
034e2f32e5c2e2fa8b3073e0932dd472,True,18.00
3747b1468107918ad2f9803fb6c09ecf,True,30.43
888ff8d69ff858c4df83f674be3b01d6,True,3.50
2ad631bd35a1702afb194765513628a4,True,43.43
a82266c48632c018b3fce291b79ba51f,True,18.54
6ffa28c10bf9a23cc691e73f3ed27a22,True,57.82
edddf4e3253e1220a7f16c9a7c2fb8ff,True,17.38
3ff77e270fbea318b661565ee83a5b19,True,23.18
49cdf289c02d3026c5913468f12a2a07,True,17.78
4ecada8b7a60498605aeb13a702002ff,True,27.68
dcefefedb1a1dc037d6c71183483b9f1,True,61.63
a6974e6444d30bac4a482c0a748b2b8b,True,53.51
de191050defb370093465e766184ff54,True,17.99
d15b0273b8604001bd07713757a49ebd,True,26.16
7c9f76015fc333fcd6f4cfb25727b460,True,13.40
63773d57c288d89059e317fed7ea6a6b,True,49.88
04b69ec707c0d3ff3d8bb8bb96197804,True,3.28
6ffc20723aecd7d25fef73a7f7c07962,True,12.45
31e5221c01017553763e67533964cd51,True,16.62
47fe4a34cbacca17e445ed4329f3ad05,True,14.61
4f51f9307374f46eb7eed6aabb59e419,True,9.07
23432f5f12da88a14d902d15de552d6f,True,16.22
28117c352bfbe2b6023650fd01fc4f0d,True,26.66
01b09058554079ab88d6163f4762028a,True,20.59
ba08185db210e8a9cba92e622bdbc73e,True,25.96
9816294f4efd6b9dc680e372cd9ffd79,True,17.26
ad781177bcb3c2b4067baf843f98a95a,True,25.72
c3ee7e4745131fa8aec003ddadaf258a,True,16.97
7cce6ec4d1792558611a70698a4d9213,True,46.04
552dd11d2d104c5ccecd55b787e1c4f2,True,18.95
a23b773a183076659d7233cc5ab7f0b1,True,34.86
fb7369a2e11e29b99869cd6444326713,True,18.79
0cd9abc13ec7e61f9faac2af369f5cda,True,28.14
067e42e9b7b0b3445447c8f5de0af7f8,True,20.28
11a79e783ca57453c2b13f371281eee0,True,21.77
adb21d32586442ef183e89b35c50f25b,True,23.51
1230e0ee0828ab64827f857e411c4ae9,True,3.58
0242e5df31878c44a589771a080c8ded,True,22.62
2bd02a6c3ba0ab3a90bbda759c327da0,True,24.23
cf2f98a5dd11cbe4729d5a1da9e41b7a,True,17.06
a688e9e6f86f10970c4047cc02aa60fe,True,17.12
35852bdbe471cda8f391c07990fbd43f,True,19.09
7cf36d539bb210063db68cfa96e4e72f,True,26.08
fb71a0a7fe425fd9dbf6bfc9701be0f1,True,33.39
cba8e4716cbb73df9d109fec9b0b7dd9,True,28.34
9e86d7c63e08175ff557ecea31339948,True,24.78
50582b26cf60c78a4abd2e3f99f26b19,True,16.15
e228d3c735cc5f23c70651dba2f6ad2b,True,16.76
ef70b3988874a3fbd363e33b6be49318,True,38.68
25ff9e0d9a1643e582802682ff2b346d,True,15.20
27437bdf64fd212cd254f715c8227cee,True,37.26
2437e85146fe983feda198f4c442dbfb,True,14.16
80ad7e6711f6ef6d1ba3eff3473ef66f,True,18.75
ee14d562c9a9853298ba3cece773cce3,True,15.04
fd0b7f1e1717cae62fb191dacdbc94dd,True,15.75
98c8fddad0becbb55e6cc4edcd12e56f,True,21.01
43f97ba052db3fe145dcb3165fa621eb,True,60.60
8138f9f1ac46ebf704d869800b3640af,True,8.90
4c8cd23895f203248a7ccf0d9bcf1ab6,True,16.51
f57a777c6a5454493347e59401bd1913,True,17.07
7d09e0647415c501767577b0c0dd52b4,True,16.34
d03307c8cb8849c65ce80522ba877618,True,23.89
91b01cb0cf1cd17b44ac505afb4593e4,True,16.56
ecc2ad82418e72ddd312c7cfebe1f3b1,True,14.69
c1f557589f5b1f18f4b9f7b99a3c6e61,True,11.46
3d3e61272e44fe2590e1d94688af8b5f,True,21.45
768ee82ca8f7850de0279de59ccb9c7e,True,9.82
28490ef11baf7da482e91715572508b3,True,19.43
b29b97f31f486a71560b6086dbf3ac45,True,18.29
39a25df397ea231142f857ea4a710ddf,True,10.08
04abd4e33bd2ca79a91de2f7f7e23543,True,19.86
1cbfdcd9f0fbe3d178b7e742e6d079c9,True,23.16
148a5a0f8b7d36fd07ebd4d4e1909b7d,True,16.00
5dcf61b7ff586f5925f193bfa72c419d,True,16.10
b51a8ef834b9ad636ca75c9ca77524a8,True,16.72
558c457cccfc591d007c389aa86f212d,True,20.66
1462a314595defb922a40f6ef3c1a853,True,19.23
8693e57105d41857bb9682471cd65f97,True,13.79
c26cab8d5fb74f0ad55b2d5d46ffadc1,True,21.89
f6f742573cb8c7b5d21d0992429a3fbb,True,17.14
f906ad4e2c7d8cc01a974ca9d07ce368,True,62.23
59d176b68851c8167ba5771c6827a51d,True,37.14
377e60d8ec9c672e3c9e353810c4e83a,True,20.01
1c8f5efcdafe07f1c3278a3133bbf515,True,58.88
6b7c8a9f60f23c96d9091e2fd4ebdb00,True,14.34
9128de6c7ce80ddfbf0f5c123e585d64,True,58.92
184b6e42bcaf7791e96aa17efd6e441f,True,17.64
1dfcb5c6960fd2f6bc5476622426dc83,True,25.15
3276d3548e184e4bb726356817e08314,True,32.71
f7dea4e02713f700944e76a0e07f3d14,True,17.73
d2c7d33eb9f1eea31e25cc43b1f43b05,True,20.93
d3072292df22a0036095147b4629f442,True,21.66
e4b1cfa9f971c8a8f2f5b4afa45202a0,True,8.59
a13a233b1378b98d2072af5a9ec368bf,True,23.38
2bfa0f6aa1b926d4dfd422caf191682e,True,9.38
58c81886faace13e688866521ed75934,True,39.95
0cf1ced3ecac878e42a3c618402d9e21,True,18.37
496f0cdcab3838a3dd844933c27a9021,True,3.47
8961432f8425f99563942c8c037f33c6,True,21.56
272c17318523670fa2c848176e3628f1,True,24.00
11841f17fe15b7f85b0e77e835992303,True,100.39
1a0f5f249d751d83b3bcf29a410061dc,True,20.32
49ba711b2ca5e1d5a7d738cd072b87fd,True,8.57
a658f35cf8e8a0b9ef4a88e0b9514c3f,True,18.42
23200fbbb92c54309a6d1723720a8680,True,31.35
ddf23c46c3ec8fa524f2975730fc0779,True,35.49
62b04d2251fbd900572c2d0b18392441,True,14.54
0b4e5a95305f2ed6d5555294188f74fe,True,26.05
34a6cf4ac077ac6969274499c3060763,True,46.90
514ead5b3ad48a41539106c78f5818a9,True,19.20
cd958ebd067f581359c6f6d9591007ec,True,28.74
417c48d2d83edd58e937f03624b41ac2,True,12.99
d7c84cf736cd8a5c4f3680ba416c0e83,True,26.50
1a7fbfcaf474f0ef6f103a1692ecf727,True,16.99
9776d4f8f76ccd757d7c6575334b63d1,True,26.39
f695e74acdc85faeeb07457002f7138b,True,20.42
7f1b601b844fa424d624c6e50dc7ba08,True,43.77
72963a912f8a185da4642d4efe18c538,True,52.46
89787fba131412170b784e015b573dc6,True,22.38
e9fc2a6bdccd7223a1b58ace0572c4dd,True,30.61
f4241bd8ad4b1daee61cd66978800d11,True,8.73
b14dcd37c55d7d7a0e353716216fcd99,True,16.32
4e5370bf32472a1482052d3d50088fa1,True,17.91
64125b19d2ab7dc6189971845d16c6dd,True,18.05
d994a4794b780ec55e0cc1bc357e497c,True,28.53
78ae02e4f154cc7b0e24fee2f58e3eab,True,14.50
29a83dc3b5be715af9091c8d4e360ab2,True,18.29
a475e1aabc44e42e4214effee3edfab2,True,16.44
ed7f5a2f4e629eaacefdefd01a555bcb,True,34.99
27ae764bb87349a313190aa8b7c5bda8,True,24.01
429dce660395f1954c138267e781fb0b,True,11.73
d53da5a0a0d2c6c7cf986b392b968d2f,True,23.08
78fdda4714490540239e91152d4f2398,True,18.26
a4f4275503c38f6d5e4204088e122392,True,17.77
8690cacb0167c8fd3d32f93ded632be9,True,18.25
f2fa5c81c59c1f0940f8d33d5122972a,True,31.34
ee82f75f31d1065bd445c65d1d87b9fb,True,14.54
3e8b31e776d4b96ef97bcb0f2199f564,True,18.71
0197a2dcf1e6665f07dc9c57a05f02c4,True,20.29
b08f24e41ad9e528319846febdce295a,True,20.52
f5ce557a2bb791ba13a24a7dfc08d9dd,True,48.97
3068fcb9fae0b804cb812f36cf8dbaa4,True,40.91
3614ff462acb1a8441865888234e8411,True,8.69
5b19678ca86147d97b315a032fb8c646,True,17.73
86d0fcf068b72e96368f0adbfbad7082,True,19.82
a8feaf856850e045df94ff9020b4f2f2,True,19.05
1270c4049c55603ed91742ff5c4f7ea2,True,83.06
531ebd1d330fecf51f90e4326294542d,True,12.47
